read_name	primer	expected_insert_distance	fasta_path	hash	read_length	run_name	sample_well	dye	run_start	run_end	abi_path	date
VR-15-3-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-15-3_pFC9_t7_primer_1__2021-10-12_F09.seq	7299701814498263217	1000	2021-10-11_725945_132047_data	F9	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-15-3_pFC9_t7_primer_1__2021-10-12_F09.ab1	2021-10-11
VR-23-1-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-23-1_pFC9_t7_primer_1__2021-10-12_A10.seq	8057285795549535037	1000	2021-10-11_725945_132047_data	A10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-23-1_pFC9_t7_primer_1__2021-10-12_A10.ab1	2021-10-11
VR-12-3-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-12-3_pFC9_t7_primer_1__2021-10-12_C09.seq	2268020589340252789	1000	2021-10-11_725945_132047_data	C9	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-12-3_pFC9_t7_primer_1__2021-10-12_C09.ab1	2021-10-11
VR-23-4-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-23-4_pFC9_t7_primer_1__2021-10-12_C10.seq	-3411899610935244798	1000	2021-10-11_725945_132047_data	C10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-23-4_pFC9_t7_primer_1__2021-10-12_C10.ab1	2021-10-11
VR-17-C2-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-17-C2_pFC9_t7_primer_1__2021-10-12_G10.seq	-3427772951125036752	1000	2021-10-11_725945_132047_data	G10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-17-C2_pFC9_t7_primer_1__2021-10-12_G10.ab1	2021-10-11
VR-25-2-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-25-2_pFC9_t7_primer_1__2021-10-12_E10.seq	5877737378260535749	357	2021-10-11_725945_132047_data	E10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-25-2_pFC9_t7_primer_1__2021-10-12_E10.ab1	2021-10-11
VR-21-1-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-21-1_pFC9_t7_primer_1__2021-10-12_H09.seq	344960231504337069	999	2021-10-11_725945_132047_data	H9	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-21-1_pFC9_t7_primer_1__2021-10-12_H09.ab1	2021-10-11
VR-25-2-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-25-2_Variable_region_insert_primer_1__2021-09-11_B05.seq	-4211066473230109816	403	2021-09-10_719077_130415_data	B5	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-25-2_Variable_region_insert_primer_1__2021-09-11_B05.ab1	2021-09-10
VR-22-1-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-22-1_Variable_region_insert_primer_1__2021-09-11_G04.seq	-5091435721710922911	404	2021-09-10_719077_130415_data	G4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-22-1_Variable_region_insert_primer_1__2021-09-11_G04.ab1	2021-09-10
VR-26-1-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-26-1_Variable_region_insert_primer_1__2021-09-11_C05.seq	-1177107167347548075	310	2021-09-10_719077_130415_data	C5	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-26-1_Variable_region_insert_primer_1__2021-09-11_C05.ab1	2021-09-10
VR-17-3-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-17-3_Variable_region_insert_primer_1__2021-09-11_B04.seq	-3893211679274255124	404	2021-09-10_719077_130415_data	B4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-17-3_Variable_region_insert_primer_1__2021-09-11_B04.ab1	2021-09-10
VR-20-1-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-20-1_Variable_region_insert_primer_1__2021-09-11_C04.seq	-617938568070595031	431	2021-09-10_719077_130415_data	C4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-20-1_Variable_region_insert_primer_1__2021-09-11_C04.ab1	2021-09-10
VR-22-2-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-22-2_Variable_region_insert_primer_1__2021-09-11_H04.seq	3146203425064637918	678	2021-09-10_719077_130415_data	H4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-22-2_Variable_region_insert_primer_1__2021-09-11_H04.ab1	2021-09-10
VR-25-1-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-25-1_Variable_region_insert_primer_1__2021-09-11_A05.seq	592881265975465080	405	2021-09-10_719077_130415_data	A5	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-25-1_Variable_region_insert_primer_1__2021-09-11_A05.ab1	2021-09-10
VR-20-2-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-20-2_Variable_region_insert_primer_1__2021-09-11_D04.seq	-7102156603281847136	724	2021-09-10_719077_130415_data	D4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-20-2_Variable_region_insert_primer_1__2021-09-11_D04.ab1	2021-09-10
VR-21-1-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-21-1_Variable_region_insert_primer_1__2021-09-11_E04.seq	-2321988974088454635	319	2021-09-10_719077_130415_data	E4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-21-1_Variable_region_insert_primer_1__2021-09-11_E04.ab1	2021-09-10
VR-17-2-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-17-2_Variable_region_insert_primer_1__2021-09-11_A04.seq	-2190900155461232644	481	2021-09-10_719077_130415_data	A4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-17-2_Variable_region_insert_primer_1__2021-09-11_A04.ab1	2021-09-10
VR-21-2-2021-09-10	Variable_region_insert_primer_1	0	runs/2021-09-10_719077_130415_data/VR-21-2_Variable_region_insert_primer_1__2021-09-11_F04.seq	-4277381852723171984	437	2021-09-10_719077_130415_data	F4	Z-BigDyeV3	2021-09-11 03:53:08	2021-09-11 05:43:52	runs/2021-09-10_719077_130415_data/VR-21-2_Variable_region_insert_primer_1__2021-09-11_F04.ab1	2021-09-10
VR-26-AGE-c4-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-AGE-c4_VRI_primer_2__2021-11-02_G01.seq	-7745735743420523342	1000	2021-11-01_731053_133377_data	G1	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-AGE-c4_VRI_primer_2__2021-11-02_G01.ab1	2021-11-01
VR-19-c2-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-19-c2_VRI_primer_2__2021-11-02_E11.seq	-969491862816911392	1000	2021-11-01_731053_133377_data	E11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-19-c2_VRI_primer_2__2021-11-02_E11.ab1	2021-11-01
VR-19-c3-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-19-c3_VRI_primer_2__2021-11-02_F11.seq	-422156852641974550	1000	2021-11-01_731053_133377_data	F11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-19-c3_VRI_primer_2__2021-11-02_F11.ab1	2021-11-01
VR-18-c6-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-18-c6_VRI_primer_2__2021-11-02_D11.seq	-4324495813792647799	1000	2021-11-01_731053_133377_data	D11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-18-c6_VRI_primer_2__2021-11-02_D11.ab1	2021-11-01
VR-26-c5-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-c5_VRI_primer_2__2021-11-02_F12.seq	-5347180584868393177	999	2021-11-01_731053_133377_data	F12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-c5_VRI_primer_2__2021-11-02_F12.ab1	2021-11-01
VR-26-AGE-c5-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-AGE-c5_VRI_primer_2__2021-11-02_G02.seq	9197210428478202563	1000	2021-11-01_731053_133377_data	G2	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-AGE-c5_VRI_primer_2__2021-11-02_G02.ab1	2021-11-01
VR-26-c6-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-c6_VRI_primer_2__2021-11-02_G12.seq	6124990126541667185	1000	2021-11-01_731053_133377_data	G12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-c6_VRI_primer_2__2021-11-02_G12.ab1	2021-11-01
